Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs (Own),Wickets Lost (Own),Balls Played (Own),Total Runs (Opp),Wickets Lost (Opp),Balls Played (Opp),Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent,Tournament
82,2,1,0,0,238,10,455,229.0,10.0,387.0,26,74,3,Yes,,DNB,DNB,DNB,DNB,,QAT
82,2,2,0,0,192,10,333,202.0,7.0,452.0,31,50,3,Yes,,DNB,DNB,DNB,DNB,,QAT
82,17,1,0,0,82,10,199,375.0,10.0,533.0,4,17,3,Yes,,DNB,DNB,DNB,DNB,,QAT
82,17,2,0,0,149,10,277,,,,21,47,5,Yes,,DNB,DNB,DNB,DNB,,QAT
82,19,1,0,0,171,10,322,213.0,10.0,377.0,22,39,4,Yes,,DNB,DNB,DNB,DNB,,QAT
82,19,2,0,0,171,10,391,131.0,1.0,155.0,13,45,4,Yes,,DNB,DNB,DNB,DNB,,QAT
82,33,2,0,0,112,5,222,356.0,10.0,449.0,15,45,4,Yes,,DNB,DNB,DNB,DNB,,QAT
82,38,1,0,0,188,10,332,468.0,6.0,576.0,25,83,4,Yes,,DNB,DNB,DNB,DNB,,QAT
82,38,2,0,0,168,10,333,,,,7,14,4,Yes,,DNB,DNB,DNB,DNB,,QAT
82,17,2,0,0,295,6,599,126.0,10.0,240.0,0,1,4,Yes,,DNB,DNB,DNB,DNB,,President Trophy
82,22,1,0,0,415,10,670,275.0,10.0,493.0,0,2,4,Yes,,DNB,DNB,DNB,DNB,,President Trophy
82,11,2,0,0,344,8,282,379.0,4.0,300.0,1,6,4,Yes,,DNB,DNB,DNB,DNB,,President Cup
