Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
14,2,1,1,4,216,3,120,181,10,115,DNB,NA,NA,NA,NA,24,3,0,"1,3,5",NA,Champions T20
14,4,1,1,3,162,5,120,150,7,120,DNB,NA,NA,NA,NA,24,2,0,"2,4",NA,Champions T20
14,7,2,1,2,167,5,120,170,6,120,DNB,NA,NA,NA,NA,24,2,0,"1,3",NA,Champions T20
14,9,1,1,5,190,4,120,185,9,120,DNB,NA,NA,NA,NA,24,2,0,"1,5",NA,Champions T20
14,11,2,1,4,170,4,120,168,7,120,DNB,NA,NA,NA,NA,24,0,0,NA,NA,Champions T20
14,14,1,1,3,168,10,120,169,7,114,2,1,11,YES,NA,24,1,0,4,NA,Champions T20
14,17,1,1,2,147,9,120,118,10,111,DNB,NA,NA,NA,NA,24,2,0,"6,7",NA,Champions T20
14,20,2,1,5,133,4,84,131,10,120,DNB,NA,NA,NA,NA,24,0,0,NA,NA,Champions T20
14,22,1,1,2,199,5,120,124,10,115,DNB,NA,NA,NA,NA,24,2,0,"4,6",NA,Champions T20
14,3,2,2,7,182,2,112,181,3,120,DNB,NA,NA,NA,NA,24,0,0,NA,NA,National T20
14,23,2,2,9,167,9,120,183,3,120,6,3,10,YES,NA,24,1,0,3,NA,National T20
14,31,1,2,16,239,2,120,113,10,117,DNB,NA,NA,NA,NA,24,4,0,"4,5,6,9",NA,National T20
14,35,2,2,7,140,7,116,138,7,120,DNB,NA,NA,NA,NA,24,0,0,NA,NA,National T20
14,39,1,2,1,110,9,120,111,1,96,7,5,11,NO,YES,24,1,0,1,NA,National T20
14,4,1,9,8,341,10,464,224,10,362,13,29,11,NO,NA,60,1,3,7,NA,President's Trophy Grade-I
14,4,3,9,8,288,8,426,213,10,389,2,2,10,NO,NA,102,5,4,"3,4,5,6,9",NA,President's Trophy Grade-I
14,14,1,9,1,164,10,276,531,9,684,1,7,11,YES,NA,156,2,3,"7,9",NA,President's Trophy Grade-I
14,5,1,3,2,351,10,292,351,10,287,0,1,11,YES,NA,60,1,0,3,NA,President's Cup One-Day
14,13,2,3,5,178,10,232,182,5,199,DNB,NA,NA,NA,NA,54,3,0,"6,8,10",NA,President's Cup One-Day
14,16,1,3,1,220,10,265,224,8,258,1,3,11,NO,NA,54,4,1,"2,3,5,7",NA,President's Cup One-Day
