Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent,Tournament
2,2,1,3,4,336,5,300,203,10,337,,,,,,45,3,1,"6,9,10",,Champions One Day
2,4,2,3,2,105,10,142,231,10,270,5.0,9.0,9.0,YES,,42,0,2,,,Champions One Day
2,7,1,3,5,271,7,300,97,10,150,3.0,5.0,9.0,YES,,24,2,0,"5,6",,Champions One Day
2,12,2,3,4,251,10,297,263,9,300,7.0,7.0,9.0,YES,,60,1,0,10,,Champions One Day
2,22,1,1,2,199,5,120,124,10,115,,,,,,18,0,0,,,Champions T20
2,9,1,7,2,242,10,440,300,10,459,9.0,25.0,8.0,YES,,96,2,2,"2,3",,President's Trophy
2,9,3,7,2,139,10,315,85,3,89,9.0,25.0,9.0,YES,,29,1,0,1,,President's Trophy
2,13,1,7,6,334,10,587,280,10,491,4.0,7.0,9.0,YES,,84,2,0,"1,2",,President's Trophy
2,13,3,7,6,152,10,290,207,6,318,7.0,14.0,9.0,YES,,48,1,3,2,,President's Trophy
